area_type,availability,size,society,location,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,2 BHK,Bhmesy ,Somwar Peth,1093,2,2,70
Built-up  Area,Ready To Move,3 BHK,Suncy R,Swargate,1865,3,3,145
Plot  Area,Ready To Move,6 Bedroom,,Tilak Road,1200,7,3,165
Super built-up  Area,Ready To Move,2 BHK,Srsica ,Uruli Devachi,1039,2,2,80
Super built-up  Area,Ready To Move,2 BHK,Prlla C,Vadgaon Budruk,1246,2,1,64.5
Super built-up  Area,Ready To Move,3 BHK,Suent V,Wadgaon Sheri,1985,3,2,75
Super built-up  Area,Ready To Move,3 BHK,APncyla,Viman Nagar,1590,3,3,49
Plot  Area,Ready To Move,4 Bedroom,EmardBo,Vishrant Wadi,4000,4,2,675
Super built-up  Area,Ready To Move,2 BHK,Assha A,Wagholi,775,2,2,38
Super built-up  Area,Ready To Move,2 BHK,PancyRe,Wakadewadi,1000,2,1,50
Super built-up  Area,Ready To Move,3 BHK,Goateds,Wanowrie,1800,3,2,175
Super built-up  Area,18-Jun,2 BHK,SSestth,Warje,1035,2,1,41
Super built-up  Area,Ready To Move,3 BHK,Syonyph,Yerawada,1520,2,1,75
Super built-up  Area,Ready To Move,2 BHK,BrlisCo,Alandi Road,1360,2,1,95
Plot  Area,Ready To Move,4 Bedroom,FeowsMe,Ambegaon Budruk,6000,5,3,400
Super built-up  Area,Ready To Move,2 BHK,Shyas S,Anandnagar,1117,2,2,56
Plot  Area,Ready To Move,4 Bedroom,Esnamin,Aundh,1200,4,3,120
Super built-up  Area,Ready To Move,2 BHK,BrontLa,Aundh Road,1330,2,1,92.5
Super built-up  Area,Ready To Move,3 BHK,Prionad,Balaji Nagar,1937,3,2,160
Super built-up  Area,18-Aug,2 BHK,Prarkun,Baner,1128,2,1,65.49
Super built-up  Area,Ready To Move,2 BHK,NatisAt,Baner road,1053,2,1,45
Super built-up  Area,18-May,2 BHK,Prcesvy,Bhandarkar Road,1198,2,1,77
Super built-up  Area,18-Apr,2 BHK,Spows M,Bhavani Peth,1152,2,1,56
Super built-up  Area,17-Dec,6 BHK,,Bibvewadi,1200,6,2,125
Super built-up  Area,Ready To Move,2 BHK,Maentr ,Bopodi,1625,2,1,75
Super built-up  Area,Ready To Move,3 BHK,Dieldli,Budhwar Peth,1397,3,3,105
Super built-up  Area,Ready To Move,3 BHK,Saade E,Bund Garden Road,1523,3,3,170
Super built-up  Area,Ready To Move,2 BHK,Prrtht ,Camp,883,2,1,45
Super built-up  Area,Ready To Move,1 BHK,Baowsig,Chandan Nagar,700,1,0,38
Super built-up  Area,Ready To Move,2 BHK,Neite T,Dapodi,1170,2,1,62.5
Super built-up  Area,Ready To Move,3 BHK,Shiew T,Deccan Gymkhana,1200,2,2,42
Built-up  Area,Ready To Move,3 BHK,,Dehu Road,2400,3,2,170
Super built-up  Area,Ready To Move,2 BHK,,Dhankawadi,1480,2,2,65
Super built-up  Area,Ready To Move,3 BHK,DLhtsnd,Dhayari Phata,1897,3,2,120
Super built-up  Area,Ready To Move,2 BHK,,Dhole Patil Road,996,2,1,67
Super built-up  Area,18-May,3 BHK,SNnia E,Erandwane,1875,3,2,110
Super built-up  Area,Ready To Move,3 BHK,,Fatima Nagar,1500,2,2,98
Super built-up  Area,Ready To Move,3 BHK,Maens G,Fergusson College Road,3095,3,3,350
Super built-up  Area,Ready To Move,3 BHK,SJarkte,Ganesh Peth,1390,2,1,175
Super built-up  Area,20-Dec,3 BHK,Un 46th,Ganeshkhind,1445 - 1455,3,0,65.255
Super built-up  Area,17-Nov,1 BHK,Prensya,Ghorpade Peth,697,1,0,45
Built-up  Area,Ready To Move,1 BHK,Shthi S,Ghorpadi,710,1,1,27
Carpet  Area,Ready To Move,2 BHK,VaoldMa,Gokhale Nagar,910,2,1,30.5
Built-up  Area,Ready To Move,3 BHK,Suiseit,Gultekdi,1025,2,1,48
Super built-up  Area,18-Aug,2 BHK,Vrenty ,Guruwar peth,884 - 1116,2,0,46.5
Plot  Area,Ready To Move,4 Bedroom,,Hadapsar,1200,4,,244
Super built-up  Area,18-May,3 BHK,,Hadapsar Industrial Estate,1453,2,1,46.48
Super built-up  Area,Ready To Move,4 BHK,Adeatlm,Hingne Khurd,3335,5,2,300
Super built-up  Area,18-Mar,2 BHK,SLityee,Jangali Maharaj Road,850 - 1093,2,0,36.435
Super built-up  Area,Ready To Move,2 BHK,,Kalyani Nagar,1281,2,1,74
Built-up  Area,Ready To Move,1 BHK,,Karve Nagar,565,1,1,35
Built-up  Area,Ready To Move,2 BHK,DSingSt,Karve Road,1024,2,2,42
Built-up  Area,Ready To Move,3 BHK,Suashen,Kasba Peth,1620,3,2,62
Super built-up  Area,Ready To Move,2 BHK,SSthamh,Katraj,1254,2,2,40
Built-up  Area,Ready To Move,3 BHK,Skave E,Khadaki,1300,2,2,75
Built-up  Area,Ready To Move,2 BHK,,Khadki,1233,2,2,43
Plot  Area,Ready To Move,1 Bedroom,,Kharadi,1200,1,1,28
Super built-up  Area,18-Oct,3 BHK,PuendWe,Kondhwa,1510,2,1,105
Super built-up  Area,Ready To Move,2 BHK,Baowsig,Kondhwa Budruk,950,2,1,65
Super built-up  Area,Ready To Move,3 BHK,PaontWa,Kondhwa Khurd,1945,3,2,97.42
Super built-up  Area,Ready To Move,2 BHK,Shierhi,Koregaon Park,1008,2,3,45
Super built-up  Area,Ready To Move,3 BHK,Bhmesy ,Kothrud,1265,2,1,79
Super built-up  Area,19-Dec,3 BHK,Magiaya,Law College Road,1255,2,1,77.68
Built-up  Area,18-Dec,4 BHK,PrityFa,Laxmi Road,2689,6,2,220
Built-up  Area,Ready To Move,2 BHK,,Lulla Nagar,1200,2,2,46.17
Super built-up  Area,19-Dec,3 BHK,Daivon ,Mahatma Gandhi Road,1403,3,3,51.63
Super built-up  Area,Ready To Move,3 BHK,Srier P,Mangalwar peth,1535,3,2,85
Plot  Area,Ready To Move,3 Bedroom,,Manik Bagh,1500,3,3,100
Super built-up  Area,Ready To Move,3 BHK,SihtsHe,Market yard,1475,2,2,120
Super built-up  Area,Ready To Move,3 BHK,,Model colony,1390,2,2,60.47
Super built-up  Area,Ready To Move,3 BHK,,Mukund Nagar,1278,2,1,53.76
Super built-up  Area,Ready To Move,2 BHK,AbnceEs,Mundhawa,1133,2,2,55
Plot  Area,Ready To Move,5 Bedroom,,Nagar Road,1560,5,1,145
Plot  Area,Ready To Move,5 Bedroom,,Nana Peth,2900,5,2,90
Super built-up  Area,Ready To Move,2 BHK,,Narayan Peth,1170,2,1,51.99
Plot  Area,Ready To Move,3 Bedroom,,Narayangaon,1200,3,3,200
Super built-up  Area,18-Dec,3 BHK,Prtates,Navi Peth,1697,3,2,94.79
Super built-up  Area,Ready To Move,3 BHK,,Padmavati,1651,3,3,97.38
Super built-up  Area,Ready To Move,3 BHK,Siace P,Parvati Darshan,1560,3,1,188
Super built-up  Area,17-Apr,3 BHK,Koagati,Pashan,1192,2,1,60
Built-up  Area,Ready To Move,2 BHK,,Paud Road,1078,2,3,65
Plot  Area,Ready To Move,7 Bedroom,,Pirangut,800,7,3,105
Super built-up  Area,Ready To Move,2 BHK,Salisal,Prabhat Road,1349,2,2,78
Plot  Area,Ready To Move,9 Bedroom,,Pune Railway Station,2300,8,1,210
Super built-up  Area,Ready To Move,3 BHK,Eladero,Rasta Peth,1680,3,2,120
Super built-up  Area,Ready To Move,3 BHK,,Raviwar Peth,1314,2,2,63
Super built-up  Area,Ready To Move,2 BHK,,Sadashiv Peth,1060,2,1,48.7
Built-up  Area,Ready To Move,2 BHK,SLnorMa,Sahakar Nagar,820,2,0,39
Plot  Area,Ready To Move,4 Bedroom,Skensk ,Salunke Vihar,5000,4,3,400
Super built-up  Area,Ready To Move,3 BHK,,Sasson Road,2000,3,2,85
Super built-up  Area,Ready To Move,2 BHK,Sothin ,Satara Road,856,2,3,40
Super built-up  Area,18-Feb,3 BHK,Puwerun,Senapati Bapat Road,1621,4,0,130
Plot  Area,18-Dec,3 Bedroom,,Shaniwar Peth,1200,3,1,68.4
Super built-up  Area,Ready To Move,3 BHK,TGjraVa,Shivaji Nagar,1484,3,2,52.5
Plot  Area,Ready To Move,4 Bedroom,,Shukrawar Peth,600,5,2,60
Plot  Area,Ready To Move,4 Bedroom,Apavea ,Sinhagad Road,14000,3,2,800
Super built-up  Area,Ready To Move,1 BHK,KHatsFl,Somwar Peth,500,1,1,20
Super built-up  Area,Ready To Move,1 BHK,,Swargate,485,1,1,15
Super built-up  Area,Ready To Move,2 BHK,,Tilak Road,1050,2,1,42
Super built-up  Area,Ready To Move,3 BHK,,Uruli Devachi,1617,3,3,66.68
Built-up  Area,Ready To Move,2 BHK,Itelaa ,Vadgaon Budruk,550,1,1,16
Built-up  Area,Ready To Move,3 BHK,PancyRe,Wadgaon Sheri,1384,3,2,62.28
Super built-up  Area,18-Apr,2 BHK,,Viman Nagar,1408,2,2,85
Built-up  Area,Ready To Move,2 BHK,Sungsha,Vishrant Wadi,1150,2,1,49
Super built-up  Area,Ready To Move,3 BHK,,Wagholi,1410,2,2,75
Built-up  Area,Ready To Move,4 BHK,Adsia F,Wakadewadi,2150,4,1,100
Super built-up  Area,Ready To Move,3 BHK,,Wanowrie,2292,4,1,275
Built-up  Area,Ready To Move,3 BHK,Maens G,Warje,2006,3,,297
Built-up  Area,Ready To Move,3 BHK,ArnzaFi,Yerawada,1508,3,2,70.25
Built-up  Area,Ready To Move,2 BHK,Foghaa ,Alandi Road,1040,2,2,50
Plot  Area,Ready To Move,2 Bedroom,Lancy R,Ambegaon Budruk,1240,2,1,60
Super built-up  Area,Ready To Move,3 BHK,Srier P,Anandnagar,1535,3,1,78
Built-up  Area,Ready To Move,2 BHK,RothaVa,Aundh,1180,2,2,75
Built-up  Area,Ready To Move,6 Bedroom,,Aundh Road,2200,6,2,68
Super built-up  Area,Ready To Move,2 BHK,SNity S,Balaji Nagar,1400,2,2,78
Super built-up  Area,Ready To Move,1 BHK,,Baner,500,1,1,25
Plot  Area,Ready To Move,4 Bedroom,Pronege,Baner road,4800,4,3,525
Super built-up  Area,Ready To Move,3 BHK,Puallhi,Bhandarkar Road,1984,4,1,146
Plot  Area,Ready To Move,4 Bedroom,VDe 1Du,Bhavani Peth,3000,5,3,250
Super built-up  Area,Ready To Move,3 BHK,BrlisMe,Bibvewadi,1960,3,3,160
Super built-up  Area,Ready To Move,2 BHK,Shthi S,Bopodi,1035,2,1,45
Built-up  Area,Ready To Move,4 Bedroom,,Budhwar Peth,2150,4,1,80
Built-up  Area,Ready To Move,3 BHK,Mithmn ,Bund Garden Road,1700,3,2,115
Super built-up  Area,Ready To Move,4 BHK,Taonte ,Camp,3024,5,1,248
Super built-up  Area,21-Jan,3 BHK,Sapus S,Chandan Nagar,1586,3,1,100
Built-up  Area,18-May,3 Bedroom,Asoilul,Dapodi,2264,,,155
Plot  Area,Ready To Move,4 Bedroom,Theanmp,Deccan Gymkhana,2325,4,1,120
Super built-up  Area,Ready To Move,2 BHK,Rarthne,Dehu Road,1120,2,2,55
Super built-up  Area,18-Jun,3 BHK,Shalkri,Dhankawadi,1440 - 1884,,,67.98
Super built-up  Area,Ready To Move,2 BHK,CharkGr,Dhayari Phata,1128,2,2,59
Plot  Area,Ready To Move,6 Bedroom,,Dhole Patil Road,1200,6,2,250
Super built-up  Area,Ready To Move,2 BHK,DLhtsan,Erandwane,924,2,2,65
Super built-up  Area,Ready To Move,3 BHK,AritaFe,Fatima Nagar,1600,3,2,52
Super built-up  Area,Ready To Move,2 BHK,,Fergusson College Road,1006,2,2,35
Super built-up  Area,Ready To Move,2 BHK,Srncy R,Ganesh Peth,1200,2,2,55
Super built-up  Area,20-Dec,2 BHK,,Ganeshkhind,1250,2,1,62
Plot  Area,Ready To Move,3 Bedroom,,Ghorpade Peth,1200,3,1,130
Built-up  Area,Ready To Move,2 BHK,VBownre,Ghorpadi,957,2,1,56
Super built-up  Area,Ready To Move,2 BHK,SSthamh,Gokhale Nagar,1140,2,2,41
Super built-up  Area,Ready To Move,2 BHK,RortsCo,Gultekdi,1050,2,1,67
Super built-up  Area,Ready To Move,3 BHK,,Guruwar peth,1565,3,2,88.5
Super built-up  Area,Ready To Move,2 BHK,GClmsun,Hadapsar,1190,2,3,57
Built-up  Area,18-Jan,3 Bedroom,,Hadapsar Industrial Estate,2842,3,2,162
Built-up  Area,Ready To Move,3 BHK,SoapeSu,Hingne Khurd,1558.67,2,2,65
Super built-up  Area,Ready To Move,1 BHK,,Jangali Maharaj Road,630,1,1,39
Super built-up  Area,Ready To Move,3 BHK,Iseenst,Kalyani Nagar,1403,2,2,60.81
Super built-up  Area,Ready To Move,3 BHK,SLourle,Karve Nagar,1542,2,3,85
Built-up  Area,Ready To Move,4 Bedroom,IDlleri,Karve Road,2750,4,0,220
Super built-up  Area,Ready To Move,4 BHK,Emine P,Kasba Peth,3596,5,1,290
Super built-up  Area,Ready To Move,3 BHK,,Katraj,1635,2,,78
Super built-up  Area,Ready To Move,2 BHK,,Khadaki,1239,2,1,53
Super built-up  Area,Ready To Move,2 BHK,,Khadki,1194,2,2,47
Super built-up  Area,Ready To Move,3 BHK,Puceswn,Kharadi,1596,3,1,105
Super built-up  Area,17-Nov,2 BHK,Unm 2El,Kondhwa,1009,2,1,38.34
Super built-up  Area,18-Jul,3 BHK,Mahesr ,Kondhwa Budruk,1726,3,2,81.99
Super built-up  Area,Ready To Move,3 BHK,Srier P,Kondhwa Khurd,1535,3,2,86
Super built-up  Area,Ready To Move,3 BHK,,Koregaon Park,1300,2,1,58.5
Plot  Area,Ready To Move,4 Bedroom,Adowslm,Kothrud,3100,4,2,465
Super built-up  Area,Ready To Move,3 BHK,,Law College Road,1800,3,3,80
Super built-up  Area,19-Dec,1 BHK,Shestlo,Laxmi Road,665,1,0,50.75
Plot  Area,Ready To Move,9 Bedroom,,Lulla Nagar,4050,7,1,1200
Plot  Area,Ready To Move,3 Bedroom,,Mahatma Gandhi Road,1500,2,1,100
Built-up  Area,Ready To Move,2 BHK,Sothin ,Mangalwar peth,925,2,2,48
Super built-up  Area,18-Dec,4 BHK,Jaades ,Manik Bagh,3356,4,,251
Super built-up  Area,Ready To Move,2 BHK,ArzzaRe,Market yard,1395,2,1,63.59
Super built-up  Area,Ready To Move,3 BHK,DSgam S,Model colony,1415,2,1,55
Super built-up  Area,Ready To Move,3 BHK,Arera V,Mukund Nagar,1419,2,2,59
Super built-up  Area,18-Feb,2 BHK,Brersge,Mundhawa,1121,2,2,78
Super built-up  Area,Ready To Move,3 BHK,,Nagar Road,1082,2,1,45
Super built-up  Area,18-Jun,2 BHK,MCnexva,Nana Peth,1100,2,1,47
Super built-up  Area,Ready To Move,3 BHK,Keers S,Narayan Peth,1606,3,3,89.55
Built-up  Area,Ready To Move,3 BHK,,Narayangaon,1650,3,2,88
Super built-up  Area,Ready To Move,3 BHK,Niateki,Navi Peth,4634,4,3,1015
Super built-up  Area,Ready To Move,2 BHK,Vadel C,Padmavati,1206,2,3,75
Built-up  Area,Ready To Move,3 BHK,HIideSu,Parvati Darshan,1495,2,0,64
Plot  Area,Ready To Move,8 Bedroom,,Pashan,840,7,2,195
Super built-up  Area,Ready To Move,2 BHK,Itelaa ,Paud Road,710,2,2,16
Super built-up  Area,Ready To Move,2 BHK,,Pirangut,1210,2,1,72
Super built-up  Area,Ready To Move,3 BHK,DSesthr,Prabhat Road,1523,2,2,53.4
Super built-up  Area,Ready To Move,2 BHK,Krine C,Pune Railway Station,1232,2,2,45
Super built-up  Area,20-Aug,1 BHK,AsNowre,Rasta Peth,680,1,1,44
Super built-up  Area,19-Dec,3 BHK,Magiaya,Raviwar Peth,1355,3,1,83.87
Super built-up  Area,Ready To Move,3 BHK,MenueNo,Sadashiv Peth,1430,2,2,51.46
Super built-up  Area,18-Jun,3 BHK,,Sahakar Nagar,1275,2,2,43.85
Super built-up  Area,Ready To Move,2 BHK,GMown E,Salunke Vihar,1070,2,1,56.1
Plot  Area,Ready To Move,3 Bedroom,,Sasson Road,1200,3,1,85
Plot  Area,Ready To Move,4 Bedroom,,Satara Road,2000,4,0,120
Super built-up  Area,Ready To Move,2 BHK,,Senapati Bapat Road,1200,2,2,40
Super built-up  Area,Ready To Move,3 BHK,SatatHa,Shaniwar Peth,1610,3,1,90
Super built-up  Area,Ready To Move,2 BHK,RInceeg,Shivaji Nagar,1140,2,2,43
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,Shukrawar Peth,1143,2,2,38.65
Super built-up  Area,22-May,4 BHK,SoineC ,Sinhagad Road,3467.86,6,3,249
Super built-up  Area,Ready To Move,3 BHK,Sovar S,Somwar Peth,1530,2,2,74.4
Super built-up  Area,Ready To Move,2 BHK,Brnia G,Swargate,980,2,2,69
Super built-up  Area,Ready To Move,3 BHK,ChodsGr,Tilak Road,1485,3,2,65
Plot  Area,18-May,3 Bedroom,WoarkEm,Uruli Devachi,1500,3,1,130
Super built-up  Area,18-Oct,2 BHK,Umods W,Vadgaon Budruk,1280,2,1,75
Super built-up  Area,Ready To Move,2 BHK,Bhmesy ,Wadgaon Sheri,1265,2,2,85
Built-up  Area,20-Dec,2 BHK,,Viman Nagar,1132,2,1,67
Super built-up  Area,Ready To Move,2 BHK,SJcerpe,Vishrant Wadi,1262,2,2,63
Super built-up  Area,Ready To Move,2 BHK,Maentor,Wagholi,940,2,1,49
Super built-up  Area,Ready To Move,3 BHK,,Wakadewadi,1515,3,3,88
Super built-up  Area,Ready To Move,3 BHK,DLhtsan,Wanowrie,1300,3,3,150
Built-up  Area,Ready To Move,3 Bedroom,,Warje,1840,3,1,69
Built-up  Area,Ready To Move,2 BHK,Itvir M,Yerawada,890,2,2,45
Super built-up  Area,Ready To Move,3 BHK,,Alandi Road,1655,3,2,86.06
Super built-up  Area,Ready To Move,3 BHK,SaireSa,Ambegaon Budruk,2060,3,1,149
Super built-up  Area,Ready To Move,3 BHK,SNeur G,Anandnagar,1730,3,1,96
Built-up  Area,Ready To Move,3 BHK,Leilo E,Aundh,2195,4,2,127
Super built-up  Area,18-Mar,3 BHK,,Aundh Road,1650,3,2,125
Plot  Area,Ready To Move,2 Bedroom,,Balaji Nagar,1200,2,0,71
Super built-up  Area,18-May,2 BHK,,Baner,1079,2,1,32.37
Super built-up  Area,19-Oct,2 BHK,Caiya D,Baner road,1085,2,1,36
Built-up  Area,Ready To Move,7 Bedroom,,Bhandarkar Road,5000,7,,299
Super built-up  Area,Ready To Move,2 BHK,,Bhavani Peth,1075,2,1,51.5
Super built-up  Area,18-May,2 BHK,,Bibvewadi,1380,2,1,80
Super built-up  Area,Ready To Move,3 BHK,,Bopodi,1450,3,1,65
Super built-up  Area,Ready To Move,2 BHK,,Budhwar Peth,1200,2,2,78
Super built-up  Area,Ready To Move,3 BHK,,Bund Garden Road,3200,4,,350
Super built-up  Area,21-Jul,3 BHK,GoAirej,Camp,1639,3,1,98.32
Super built-up  Area,Ready To Move,2 BHK,,Chandan Nagar,1200,2,1,54
Super built-up  Area,21-Jun,3 BHK,Saityat,Dapodi,1739,3,1,116
Built-up  Area,Ready To Move,4 Bedroom,RMaanSa,Deccan Gymkhana,4346,5,,500
Super built-up  Area,20-Dec,2 BHK,Shmes O,Dehu Road,935,2,1,32.72
Super built-up  Area,21-Nov,1 RK,Bhe 2ko,Dhankawadi,510,1,1,25.25
Plot  Area,Ready To Move,6 Bedroom,,Dhayari Phata,1200,6,3,180
Super built-up  Area,Ready To Move,2 BHK,PrestSe,Dhole Patil Road,1178,2,3,47
Built-up  Area,Ready To Move,3 BHK,Siourpl,Erandwane,1375,2,1,50
Super built-up  Area,Ready To Move,3 BHK,Halms S,Fatima Nagar,1065,2,1,33
Super built-up  Area,Ready To Move,3 BHK,,Fergusson College Road,1450,2,1,50.75
Built-up  Area,Ready To Move,2 BHK,,Ganesh Peth,999,2,3,45
Super built-up  Area,Ready To Move,2 BHK,,Ganeshkhind,4400,3,2,475
Plot  Area,Ready To Move,5 Bedroom,,Ghorpade Peth,1350,4,1,135
Built-up  Area,Ready To Move,2 BHK,,Ghorpadi,1100,2,2,40
Super built-up  Area,Ready To Move,3 BHK,Wiass G,Gokhale Nagar,1835,2,3,155
Super built-up  Area,20-Dec,4 BHK,Caycend,Gultekdi,2090,4,0,95.1
Super built-up  Area,Ready To Move,3 BHK,Soiewre,Guruwar peth,1519,3,1,93
Built-up  Area,Ready To Move,3 BHK,Asene S,Hadapsar,1267,3,2,56
Super built-up  Area,Ready To Move,2 BHK,Camesa ,Hadapsar Industrial Estate,1150,2,3,72.2
Super built-up  Area,19-Dec,2 BHK,PrensKe,Hingne Khurd,1146,2,1,70
Plot  Area,18-Feb,8 Bedroom,,Jangali Maharaj Road,1200,7,0,235
Built-up  Area,Ready To Move,3 BHK,Marnaer,Kalyani Nagar,1550,3,3,65
Built-up  Area,Ready To Move,2 BHK,KHityry,Karve Nagar,850,1,1,18.5
Super built-up  Area,Ready To Move,3 BHK,Kaestid,Karve Road,2200,3,,187
Built-up  Area,Ready To Move,3 Bedroom,,Kasba Peth,3329,3,2,330
Carpet  Area,Ready To Move,1 BHK,,Katraj,785,1,1,55
Super built-up  Area,Ready To Move,3 BHK,GonumPl,Khadaki,2900,4,,300
Built-up  Area,Ready To Move,3 BHK,Avlya A,Khadki,1610,3,2,74
Super built-up  Area,Ready To Move,2 BHK,Krine O,Kharadi,921,2,2,40
Plot  Area,Ready To Move,3 Bedroom,,Kondhwa,850,3,2,95
Built-up  Area,Ready To Move,5 Bedroom,,Kondhwa Budruk,2700,5,0,158
Super built-up  Area,Ready To Move,3 BHK,SocusHi,Kondhwa Khurd,1700,3,3,110
Built-up  Area,Ready To Move,2 BHK,Sondaka,Koregaon Park,1020,2,2,35
Super built-up  Area,Ready To Move,2 BHK,Dintsmi,Kothrud,1090,2,3,52
Plot  Area,Ready To Move,4 Bedroom,,Law College Road,3600,4,,300
Super built-up  Area,Ready To Move,2 BHK,,Laxmi Road,1027,2,2,44
Super built-up  Area,Ready To Move,2 BHK,MenueNo,Lulla Nagar,1185,2,2,42.1
Super built-up  Area,Ready To Move,2 BHK,Prianhi,Mahatma Gandhi Road,850,2,1,25
Built-up  Area,Ready To Move,2 BHK,Prncyrn,Mangalwar peth,1197,2,1,84
Super built-up  Area,Ready To Move,4 BHK,ETntsce,Manik Bagh,3500,3,3,450
Super built-up  Area,Ready To Move,2 BHK,,Market yard,920,2,2,39.55
Super built-up  Area,Ready To Move,9 BHK,,Model colony,716Sq. Meter,9,1,296
Super built-up  Area,Ready To Move,2 BHK,i1rtsCo,Mukund Nagar,1105,2,1,65
Super built-up  Area,Ready To Move,3 BHK,GoandAc,Mundhawa,1850,3,3,100
Super built-up  Area,20-Dec,3 BHK,PrarePa,Nagar Road,1300,3,1,64
Built-up  Area,Ready To Move,3 BHK,,Nana Peth,1595,3,2,76
Super built-up  Area,19-Dec,4 BHK,Priesla,Narayan Peth,3073,5,2,696
Built-up  Area,Ready To Move,2 BHK,,Narayangaon,755,2,1,37.49
Built-up  Area,Ready To Move,5 Bedroom,,Navi Peth,4050,5,2,140
Super built-up  Area,21-Dec,3 BHK,,Padmavati,1300,2,3,69
Built-up  Area,Ready To Move,2 BHK,,Parvati Darshan,1215,2,0,50
Super built-up  Area,20-Oct,2 BHK,PrarePa,Pashan,900,2,1,46
Super built-up  Area,18-Oct,2 BHK,,Paud Road,1145,2,3,58.4
Super built-up  Area,Ready To Move,2 BHK,,Pirangut,1093,2,2,65
Super built-up  Area,17-Nov,3 BHK,,Prabhat Road,1213,2,2,41.39
Super built-up  Area,Ready To Move,3 BHK,PrliaRe,Pune Railway Station,1654,3,2,100
Super built-up  Area,Ready To Move,2 BHK,,Rasta Peth,1105,2,1,52.48
Super built-up  Area,Ready To Move,3 BHK,,Raviwar Peth,1611,2,2,66
Built-up  Area,Ready To Move,2 BHK,Hoens T,Sadashiv Peth,1367,2,2,62
Super built-up  Area,Ready To Move,2 BHK,Brntsal,Sahakar Nagar,1010,2,1,51
Plot  Area,Ready To Move,3 Bedroom,,Salunke Vihar,750,2,1,75
Carpet  Area,Ready To Move,3 BHK,SVon hn,Sasson Road,1535,3,1,95
Super built-up  Area,Ready To Move,2 BHK,,Satara Road,620,2,1,22
Built-up  Area,Ready To Move,2 BHK,,Senapati Bapat Road,982,2,1,47.65
Super built-up  Area,Ready To Move,2 BHK,,Shaniwar Peth,1700,2,2,150
Super built-up  Area,18-Dec,2 BHK,BSlasin,Shivaji Nagar,1330,2,1,71
Built-up  Area,Ready To Move,3 Bedroom,Ronty C,Shukrawar Peth,2500,3,2,135
Super built-up  Area,Ready To Move,3 BHK,,Sinhagad Road,1475,2,2,58.99
Super built-up  Area,Ready To Move,3 BHK,BSisear,Somwar Peth,1410,3,1,65
Super built-up  Area,Ready To Move,1 BHK,,Swargate,440,1,1,16.5
Super built-up  Area,Ready To Move,3 BHK,PuziaVe,Tilak Road,1614,3,2,95
Super built-up  Area,Ready To Move,2 BHK,GeereEc,Uruli Devachi,1363,2,2,68
Built-up  Area,Ready To Move,2 Bedroom,,Vadgaon Budruk,650,2,0,28
Super built-up  Area,Ready To Move,2 BHK,,Wadgaon Sheri,1015,2,1,45
Super built-up  Area,Ready To Move,2 BHK,,Viman Nagar,1156,2,2,46
Super built-up  Area,19-Mar,2 BHK,,Vishrant Wadi,1100,2,1,62.7
Super built-up  Area,18-Jan,3 BHK,,Wagholi,1455,3,2,46
Super built-up  Area,Ready To Move,2 BHK,Ravashw,Wakadewadi,930,2,1,45
Built-up  Area,Ready To Move,3 BHK,,Wanowrie,1650,2,2,80
Built-up  Area,Ready To Move,2 Bedroom,,Warje,1200,2,0,90
Plot  Area,Ready To Move,1 Bedroom,,Yerawada,700,1,0,150
Super built-up  Area,Ready To Move,4 BHK,AjityIn,Alandi Road,2900,3,,135
Super built-up  Area,18-Mar,3 BHK,Alestrb,Ambegaon Budruk,1890,4,3,127
Super built-up  Area,Ready To Move,3 BHK,Vaour S,Anandnagar,2197,4,3,280
Super built-up  Area,Ready To Move,3 BHK,GonumPl,Aundh,3522,3,2,380
Super built-up  Area,18-Apr,3 BHK,,Aundh Road,1240,2,2,46
Built-up  Area,Ready To Move,2 BHK,Vaaveeh,Balaji Nagar,1440,2,2,98
Super built-up  Area,Ready To Move,1 BHK,,Baner,650,1,2,38
Super built-up  Area,19-Jun,1 BHK,Brstaue,Baner road,764,1,1,32
Plot  Area,Ready To Move,5 Bedroom,,Bhandarkar Road,900,4,0,90
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,Bhavani Peth,1693,3,3,57.39
Built-up  Area,Ready To Move,3 BHK,Macanr ,Bibvewadi,1445,3,2,65
Super built-up  Area,21-Oct,2 BHK,PrarePa,Bopodi,900,1,0,45
Super built-up  Area,Ready To Move,2 BHK,,Budhwar Peth,1030,2,,55
Super built-up  Area,Ready To Move,3 BHK,Pyikad ,Bund Garden Road,1381,2,2,52.48
Built-up  Area,Ready To Move,2 BHK,Krtiqa ,Camp,1100,2,1,60
Super built-up  Area,Ready To Move,3 BHK,,Chandan Nagar,1575,3,2,66.39
Plot  Area,Ready To Move,2 Bedroom,,Dapodi,1200,2,1,65
Super built-up  Area,Ready To Move,2 BHK,Dhalsh ,Deccan Gymkhana,1200,2,2,43.2
Super built-up  Area,Ready To Move,2 BHK,GradeMR,Dehu Road,1080,2,2,80
Plot  Area,Ready To Move,5 Bedroom,,Dhankawadi,2280,5,,200
Super built-up  Area,18-Mar,3 BHK,,Dhayari Phata,1360,2,2,85
Super built-up  Area,19-Dec,3 BHK,Ceezey ,Dhole Patil Road,1865,3,1,124
Super built-up  Area,18-Nov,3 BHK,AsastDe,Erandwane,1157,2,1,75
